first_purchase_month,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
2010-12-01,1708,689,579,753,611,801,736,691,661,798,762,1135,395
2011-01-01,547,149,182,151,233,196,178,172,189,235,282,89,0
2011-02-01,474,136,113,162,141,134,124,164,136,187,40,0,0
2011-03-01,548,123,178,150,142,123,159,161,222,48,0,0,0
2011-04-01,386,109,93,78,83,89,94,120,32,0,0,0,0
2011-05-01,366,93,64,70,93,87,113,37,0,0,0,0,0
2011-06-01,298,71,58,91,79,129,30,0,0,0,0,0,0
2011-07-01,235,50,59,57,84,25,0,0,0,0,0,0,0
2011-08-01,203,59,70,68,26,0,0,0,0,0,0,0,0
2011-09-01,377,127,154,42,0,0,0,0,0,0,0,0,0
2011-10-01,455,167,57,0,0,0,0,0,0,0,0,0,0
2011-11-01,425,55,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,45,0,0,0,0,0,0,0,0,0,0,0,0
